NUM DOCUMENTS	3367
Count_Covered_today	41
Count_Covered_day	63
Count_Covered_memorial	3
Count_Covered_4	16
Count_Covered_bedrooms	3
Count_Covered_house	31
Count_Covered_my	242
Count_Covered_travel	9
Count_Covered_somewhat	1
Count_Covered_time	55
Count_Covered_simple	2
Count_Covered_states	82
Count_Covered_obama	50
Count_Covered_president	70
Count_Covered_barack	23
Count_Covered_the	400
Count_Covered_united	83
Count_Covered_much	29
Count_Covered_friends	23
Count_Covered_family	27
Count_Covered_i	964
Count_Covered_common	8
Count_Covered_thrones	2
Count_Covered_game	10
Count_Covered_hbo	2
Count_Covered_show	16
Count_Covered_life	35
Count_Covered_coming	4
Count_Covered_able	12
Count_Covered_enjoy	26
Count_Covered_fast	6
Count_Covered_resources	1
Count_Covered_moving	2
Count_Covered_generations	2
Count_Covered_taken	2
Count_Covered_save	3
Count_Covered_did	2
Count_Covered_care	15
Count_Covered_in	30
Count_Covered_proper	1
Count_Covered_benefits	2
Count_Covered_wards	1
Count_Covered_brown	11
Count_Covered_milk	13
Count_Covered_cow	5
Count_Covered_give	17
Count_Covered_next	13
Count_Covered_on	6
Count_Covered_one	108
Count_Covered_year	42
Count_Covered_black	17
Count_Covered_going	22
Count_Covered_dentist	2
Count_Covered_love	97
Count_Covered_strongly	2
Count_Covered_work	36
Count_Covered_success	4
Count_Covered_hard	15
Count_Covered_correlated	1
Count_Covered_reality	2
Count_Covered_shows	6
Count_Covered_like	83
Count_Covered_watch	11
Count_Covered_dont	5
Count_Covered_cutting	3
Count_Covered_grass	9
Count_Covered_requires	2
Count_Covered_green	23
Count_Covered_chicago	2
Count_Covered_born	28
Count_Covered_ford	1
Count_Covered_harrison	1
Count_Covered_white	26
Count_Covered_girlfriend	8
Count_Covered_way	22
Count_Covered_righteousness	1
Count_Covered_cowardly	1
Count_Covered_bad	14
Count_Covered_knees	1
Count_Covered_running	9
Count_Covered_owns	6
Count_Covered_bmw	2
Count_Covered_dad	4
Count_Covered_car	42
Count_Covered_vinegar	2
Count_Covered_drinking	18
Count_Covered_every	40
Count_Covered_cure	4
Count_Covered_cancer	15
Count_Covered_india	55
Count_Covered_still	13
Count_Covered_using	10
Count_Covered_technology	5
Count_Covered_3g	1
Count_Covered_s	98
Count_Covered_story	1
Count_Covered_question	2
Count_Covered_bruno	1
Count_Covered_collection	3
Count_Covered_published	1
Count_Covered_aleksandar	1
Count_Covered_hemon	1
Count_Covered_short	6
Count_Covered_2000	2
Count_Covered_meat	6
Count_Covered_mother	24
Count_Covered_effortlessly	1
Count_Covered_chews	1
Count_Covered_grand	3
Count_Covered_lost	6
Count_Covered_teeth	11
Count_Covered_bones	5
Count_Covered_live	61
Count_Covered_him	5
Count_Covered_cannot	17
Count_Covered_husband	14
Count_Covered_without	22
Count_Covered_clarify	1
Count_Covered_complete	3
Count_Covered_doubts	1
Count_Covered_supposed	1
Count_Covered_teachers	1
Count_Covered_portions	1
Count_Covered_student	3
Count_Covered_wastes	1
Count_Covered_lot	19
Count_Covered_precious	2
Count_Covered_large	11
Count_Covered_12	4
Count_Covered_mansions	1
Count_Covered_gives	3
Count_Covered_7	13
Count_Covered_sisters	6
Count_Covered_man	25
Count_Covered_us	32
Count_Covered_believe	9
Count_Covered_is	2
Count_Covered_loves	8
Count_Covered_god	12
Count_Covered_marriage	7
Count_Covered_happy	11
Count_Covered_apples	4
Count_Covered_trees	17
Count_Covered_grow	11
Count_Covered_congress	3
Count_Covered_mainly	3
Count_Covered_democratic	5
Count_Covered_europe	8
Count_Covered_followed	2
Count_Covered_asia	5
Count_Covered_games	12
Count_Covered_throghout	1
Count_Covered_soccer	3
Count_Covered_africa	6
Count_Covered_south	8
Count_Covered_america	34
Count_Covered_widely	3
Count_Covered_actually	16
Count_Covered_no	6
Count_Covered_lick	2
Count_Covered_elbow	1
Count_Covered_cafe	1
Count_Covered_hanging	1
Count_Covered_jogging	1
Count_Covered_reading	10
Count_Covered_music	19
Count_Covered_listening	2
Count_Covered_around	16
